@relation first

@attribute damage_qty numeric
@attribute position {LE,'LE,PS,SS',SS,'LE,PS',PS,'PS,TE','PS,SS','LE,SS','SS,TE',TE,'TE,SS'}
@attribute location numeric
@attribute description {'protection damage','gelcoat damage, laminate visible','erosion foil damaged','erosion class 2','erosion class 2-3','erosion class 2-3, protection damage','erosion class 2, protection damage','erosion class 1-2, protection damage','laminate damage, protection damage','vortex module damaged/missing','erosion class 1-2','gelcoat damage, laminate visible, protection damage','longitudinal crack','cracking to filler','erosion foil damaged, laminate visible','Edge seal damaged','Laminate damage','gelcoat damage, laminate visible, lighting strike','erosion class 3, protection damage','Dry laminate','gelcoat damage, laminate visible, erosion foil damaged','erosion class 3','erosion class 3, protection damage, laminate visible','hole in blade','Topcoat damage','drain blocked','erosion class 2, protection damage, erosion foil damaged','erosion class 2-3, protection damage, erosion foil damaged','Tip-split due to lightning','erosion foil damaged, wrinkles','gelcoat damage, laminate visible, erosion class 2','No drain holes in designated spots','Gelcoat damage','erosion class 1-3','erosion class 2-3, protection damage, laminate damage','gelcoat damage, laminate visible, erosion class 1-3','Bonding deficiency','erosion early',erosion,crack,'Gurney Flaps','coating damage','Rain Deflector','crack early',Erosion,Cracks,'Lightning Receptor','IMPACT DAMAGE',LIGHTNINIG,'Impact Damage'}
@attribute num_desc numeric
@attribute continuous numeric
@attribute out_hue_mode numeric
@attribute out_sat_mode numeric
@attribute out_brt_mode numeric
@attribute coverage numeric
@attribute asp_ratio numeric
@attribute deg_avg numeric
@attribute deg_mode numeric
@attribute edge numeric
@attribute edgelen_avg numeric
@attribute edgelen_mode numeric
@attribute distance numeric
@attribute sc_edge_ratio numeric
@attribute sc_follow_turn numeric
@attribute sc_reverse_turn numeric
@attribute sc_small_turn numeric
@attribute hue_avg numeric
@attribute hue_mode numeric
@attribute hue_range numeric
@attribute hue_uni numeric
@attribute sat_avg numeric
@attribute sat_mode numeric
@attribute sat_range numeric
@attribute sat_uni numeric
@attribute brt_avg numeric
@attribute brt_mode numeric
@attribute brt_range numeric
@attribute brt_uni numeric
@attribute hue_outin numeric
@attribute sat_outin numeric
@attribute brt_outin numeric
@attribute size numeric
@attribute windtex numeric

@data
1,LE,36,'gelcoat damage, laminate visible',2,0,12,2,6,8,10,10,12,125,8,8,-2,14,2,12,2,9,7,6,8,4,4,5,7,6,6,4,6,19,36,24,29.7007,0.5
1,LE,44,'erosion class 1-2, protection damage',2,1,12,2,8,8,6,10,9,97,7,7,-2,13,6,8,5,7,8,11,13,2,2,3,5,6,5,7,9,20,27,34,105.5062,1.5
1,'LE,PS,SS',44,'erosion foil damaged',1,1,11,2,4,8,4,10,12,92,7,7,-2,13,6,9,4,6,6,10,14,2,2,3,5,5,6,6,8,23,12,44,206.8072,1.5
1,LE,35,'gelcoat damage, laminate visible',2,0,12,2,7,4,4,10,9,147,8,8,-2,14,6,9,3,12,12,3,5,3,2,8,10,4,2,6,8,1,29,69,1.952,0.5
1,LE,42,'erosion foil damaged',1,0,6,2,6,7,3,11,12,80,7,7,0,13,3,10,3,6,6,9,14,2,2,8,10,5,6,6,8,14,19,26,115.9946,1.5
5,LE,42,'laminate damage, protection damage',2,1,10,2,9,9,5,10,12,101,8,8,-2,12,3,10,2,7,6,12,17,2,2,8,10,6,6,8,10,16,21,42,97.8299,2.25
1,'LE,PS,SS',43,'erosion foil damaged',1,1,12,2,10,4,6,10,12,285,8,8,-2,12,2,10,4,8,8,10,12,2,2,6,8,4,4,8,10,20,8,32,240.3053,1.5
5,LE,43,'laminate damage, protection damage',2,1,7,2,6,7,4,10,11,116,7,7,20,13,5,9,4,6,6,7,9,2,2,3,5,6,6,6,8,12,24,28,86.4157,2.25
1,SS,47,'vortex module damaged/missing',1,0,2,2,8,8,10,8,6,8,4,4,-2,4,20,0,10,6,6,8,10,2,2,2,4,4,4,8,10,24,4,60,37.34,0.5
1,SS,30,'vortex module damaged/missing',1,0,12,2,6,9,14,8,6,8,4,3,-2,2,20,0,10,12,12,2,4,2,2,0,2,6,6,4,6,3,0,12,53.9214,0.5
1,LE,38,'erosion class 1-2',1,0,12,2,6,6,5,10,10,54,8,8,25,13,5,9,1,12,12,1,3,2,2,2,4,6,6,4,6,4,1,8,21.9142,0.5
1,LE,35,'gelcoat damage, laminate visible',2,1,12,2,7,7,5,10,11,111,8,8,9,14,6,8,2,12,12,4,6,2,2,3,5,6,6,5,7,5,10,15,60.3343,0.5
1,'LE,PS',50,'erosion class 1-2',1,1,12,2,8,4,14,10,12,238,6,8,-2,12,4,10,4,10,12,12,16,2,2,8,10,4,2,6,8,8,6,34,207.1176,0.5
1,LE,35,'gelcoat damage, laminate visible',2,0,12,2,8,6,4,10,8,326,8,6,-2,12,4,10,4,8,8,12,12,4,4,4,6,4,4,4,6,28,56,58,281.5315,0.5
1,LE,50,'erosion class 1-2',1,1,5,2,7,4,10,10,12,188,8,8,-2,14,5,9,4,5,5,12,18,2,2,5,7,5,5,6,8,7,22,43,56.3031,0.5
1,LE,37,'erosion class 1-2',1,1,12,2,8,6,5,10,10,161,8,8,-1,14,6,6,2,12,12,4,6,2,2,7,7,8,8,7,9,2,0,17,501.7974,0.5
1,LE,50,'erosion class 2',1,1,6,2,4,6,10,10,12,200,8,6,-2,12,6,8,6,8,6,12,18,2,2,4,6,6,8,8,10,6,16,22,17.6758,0.5
1,SS,37,'vortex module damaged/missing',1,0,12,2,6,10,8,8,6,8,4,4,-2,8,18,0,10,12,12,0,2,2,2,0,2,6,6,4,6,0,0,4,3.7307,0.5
1,SS,37,'vortex module damaged/missing',1,1,12,2,8,8,12,10,10,44,6,6,-2,12,0,14,2,8,12,8,8,2,2,0,2,6,6,6,8,12,0,32,13.4277,0.5
4,LE,37,'erosion class 1-2',1,1,12,2,8,4,17,10,12,87,8,6,-2,14,2,10,2,12,12,2,4,2,2,7,6,6,6,6,8,2,3,37,17.3807,0.5
1,LE,50,'erosion class 2',1,0,10,2,8,6,8,10,8,95,7,8,14,12,5,10,4,8,6,11,15,2,2,2,4,8,8,6,8,10,13,11,29.5577,0.5
1,LE,37,'gelcoat damage, laminate visible',2,1,6,2,6,8,6,10,12,69,8,8,0,12,8,6,2,6,6,7,7,2,2,1,3,6,8,6,8,7,0,12,26.0394,0.5
1,LE,50,'erosion class 2',1,1,4,2,8,6,9,10,12,197,8,8,-1,14,4,10,4,6,6,5,7,2,2,3,5,6,5,6,8,16,20,50,38.7342,0.5
1,LE,32,'gelcoat damage, laminate visible',2,0,12,2,6,6,4,10,10,104,8,8,-2,14,4,10,2,12,12,2,4,2,2,8,8,6,6,6,8,2,8,14,4.775,0.5
1,LE,42,'laminate damage, protection damage',2,1,12,2,5,7,3,10,12,142,8,8,-2,13,5,8,2,8,9,12,17,2,2,7,9,4,4,7,9,14,1,37,54.4724,1.5
1,LE,44,'erosion class 1-2, protection damage',2,1,9,2,8,8,6,10,12,110,7,8,-2,12,6,8,3,5,4,12,14,2,2,5,7,7,7,7,9,18,13,34,202.5992,1.5
1,'LE,PS,SS',44,'erosion class 1-2, protection damage',2,1,6,2,7,8,5,10,12,81,7,7,-2,13,5,8,3,4,4,12,13,2,2,8,10,6,5,8,10,17,4,38,168.275,1.5
4,LE,39,'erosion foil damaged',1,1,8,2,6,7,4,10,12,163,6,7,-2,12,6,8,4,5,3,12,19,3,3,7,9,7,7,7,9,17,31,22,1251.7401,2
2,LE,44,'laminate damage, protection damage',2,1,10,3,8,6,5,10,12,254,8,8,-1,12,3,10,3,7,2,12,16,4,4,3,5,6,6,8,10,15,15,25,235.7339,2
4,LE,41,'erosion foil damaged',1,1,12,2,10,8,2,10,12,68,6,6,-1,12,6,8,4,4,4,12,18,2,2,8,10,4,4,8,10,22,19,46,6851.0094,2
4,LE,40,'erosion foil damaged',1,1,10,2,8,6,5,10,12,222,8,8,-2,13,4,9,4,5,4,12,18,2,2,7,9,5,6,8,10,20,9,30,407.0506,2
1,LE,44,'gelcoat damage, laminate visible',2,0,4,2,2,10,4,10,8,16,6,6,12,10,10,6,6,4,4,11,11,4,4,4,6,6,4,8,10,13,28,48,14.1312,0.5
2,LE,43,'gelcoat damage, laminate visible, protection damage',3,1,5,2,8,7,5,10,12,122,7,7,-2,12,5,9,3,4,5,12,17,2,2,8,10,6,7,8,10,14,24,30,685.8595,1.5
3,LE,43,'erosion foil damaged',1,1,11,2,8,8,4,10,10,211,6,6,-1,12,6,8,6,7,9,12,17,2,2,7,9,4,3,8,10,21,17,50,1680.2591,2
3,LE,44,'erosion class 1-2, protection damage',2,1,12,2,10,6,6,10,12,150,8,8,-2,14,4,10,6,8,4,12,18,2,2,8,10,4,2,8,10,16,14,20,109.9711,2
1,LE,34,'gelcoat damage, laminate visible',2,0,12,2,6,6,6,10,10,150,8,8,-2,14,6,8,4,12,12,2,4,2,2,6,8,4,4,6,8,0,6,62,0.6517,0.5
3,LE,38,'erosion foil damaged',1,1,6,2,7,7,4,10,11,168,7,6,2,13,5,9,4,5,5,12,17,2,2,4,6,6,6,8,10,15,11,32,433.7255,2
1,LE,44,'longitudinal crack',1,0,10,2,4,6,10,10,12,40,8,10,-2,14,2,10,2,8,10,8,8,2,2,8,10,2,2,2,4,8,22,62,1.5153,0.5
9,LE,48.8,'protection damage',1,1,12,2,8,6,4,10,12,242,8,8,-2,12,2,10,2,4,4,12,18,2,2,4,6,8,8,8,10,23,13,13,276.63,3
1,LE,39.7,'protection damage',1,0,4,2,7,7,5,10,11,70,8,6,122,14,3,11,3,4,4,11,8,2,2,2,4,7,7,6,8,3,6,26,16.5033,1.5
1,PS,48.9,'cracking to filler',1,0,6,2,8,2,4,10,12,88,8,8,-2,14,8,6,2,6,6,12,14,2,2,0,2,6,6,4,6,8,0,60,1.2233,0.5
1,LE,49,'protection damage',1,0,12,2,8,8,4,10,12,84,8,8,-2,14,-2,14,2,4,4,12,18,2,2,4,6,8,8,6,8,22,10,26,50.8222,1.5
1,LE,30,'erosion foil damaged',1,0,6,2,8,6,4,10,12,40,8,6,-2,14,8,6,4,4,6,2,4,4,2,4,6,6,6,8,10,16,30,32,1.3956,0.5
1,LE,45,'erosion foil damaged, laminate visible',2,0,6,2,6,8,4,10,12,50,8,8,3,14,7,7,0,4,4,6,8,2,2,2,4,4,4,6,8,21,16,54,4.1685,1.5
1,LE,48,'erosion foil damaged',1,0,6,2,6,8,6,10,12,16,8,8,-2,12,8,4,4,6,6,0,2,2,2,2,4,6,6,2,4,4,0,4,0.312,1.5
1,LE,48.5,'gelcoat damage, laminate visible',2,0,6,2,5,6,4,10,11,41,8,8,9,14,6,9,2,6,5,11,11,2,2,4,6,4,4,6,8,10,4,34,0.356,0.5
1,LE,48.5,'gelcoat damage, laminate visible',2,0,6,2,6,8,4,10,10,26,8,6,-2,14,4,10,4,6,6,8,10,2,2,2,4,6,6,6,8,8,0,30,40.6328,0.5
1,LE,40,'Edge seal damaged',1,0,6,2,6,4,10,10,12,80,8,8,-2,14,8,6,2,4,4,12,12,2,2,4,6,4,4,6,8,16,4,48,2.9588,0.25
1,LE,48.5,'gelcoat damage, laminate visible',2,0,4,2,6,6,4,10,12,126,8,10,-2,14,2,12,2,4,4,12,10,2,2,4,6,4,6,8,10,4,22,22,4.2679,0.25
1,LE,40,'Edge seal damaged',1,0,7,2,7,9,9,11,12,32,8,8,7,14,4,8,3,5,4,12,16,2,2,0,2,6,4,4,6,21,3,45,2.0521,0.25
1,LE,42,'erosion foil damaged',1,0,6,2,6,6,3,11,12,49,8,8,85,14,4,9,1,4,4,9,11,2,2,2,4,6,6,3,5,26,4,25,1.1036,0.25
1,LE,48.5,'Laminate damage',1,0,12,2,10,6,4,10,12,230,8,8,-2,14,4,8,2,8,4,12,18,2,2,6,8,4,4,8,10,14,4,42,4.8464,1
1,LE,40,'Edge seal damaged',1,0,12,2,6,6,18,10,12,48,8,8,-2,14,2,10,2,6,6,12,18,2,2,0,2,4,4,6,8,14,10,48,7.2844,0.25
1,LE,46,'Edge seal damaged',1,0,6,2,8,8,4,10,10,98,6,8,-2,12,4,10,2,6,4,12,18,2,2,4,6,6,8,6,8,6,2,14,6.8935,0.25
1,LE,48.5,'Laminate damage',1,0,6,2,6,8,4,10,12,136,8,8,-2,14,2,10,0,4,4,12,16,4,4,4,6,4,4,8,10,20,36,42,8.6086,0.5
5,LE,38,'erosion foil damaged',1,1,6,2,6,6,4,10,12,62,6,6,-1,11,5,8,4,6,4,12,17,2,2,3,5,6,6,7,9,14,21,25,2732.1267,3
1,LE,41.8,'erosion class 2-3, protection damage',2,0,4,2,6,8,10,10,12,90,6,8,-2,12,2,10,4,4,4,12,12,2,2,2,4,4,4,6,8,14,0,62,2.3096,0.5
1,LE,44,'erosion class 2-3',1,1,4,2,4,8,6,10,12,114,8,8,-2,12,2,10,2,4,4,12,10,4,4,6,8,4,4,6,8,4,32,36,6.2424,0.5
1,LE,35,'gelcoat damage, laminate visible',2,0,6,2,6,6,6,10,8,189,8,8,3,14,4,10,4,6,6,4,6,2,2,2,4,4,4,4,6,4,6,71,13.1322,0.3
1,LE,36,'gelcoat damage, laminate visible',2,0,4,2,6,6,4,10,10,112,8,8,-2,14,4,10,4,6,6,12,8,2,2,2,4,4,4,6,8,16,0,66,0.6532,0.3
1,LE,37,'gelcoat damage, laminate visible',2,1,12,2,8,6,6,10,10,406,8,8,-2,14,6,8,4,6,6,12,18,2,2,2,4,4,4,6,8,18,0,62,2.1159,0.3
6,LE,38,'erosion foil damaged',1,0,4,2,6,6,4,10,12,105,8,8,2,14,3,11,4,4,4,4,6,2,2,2,4,5,5,6,8,14,8,28,146.98,3
1,LE,44,'erosion class 2-3',1,1,4,2,8,7,5,9,10,42,7,7,2,13,5,10,5,4,4,6,8,3,3,3,5,5,4,4,6,11,18,44,42.1784,0.5
1,LE,33.5,'gelcoat damage, laminate visible',2,0,6,2,6,6,6,10,10,230,8,8,-2,13,5,9,4,6,6,10,9,2,2,8,9,4,4,6,8,15,7,58,6.8028,0.3
1,LE,36,'gelcoat damage, laminate visible',2,0,6,2,6,6,6,10,8,190,8,8,0,12,6,8,6,6,6,12,14,2,2,2,4,6,6,6,8,12,15,28,16.6329,0.3
6,LE,37,'erosion foil damaged',1,1,9,2,7,7,4,10,12,80,8,8,14,13,5,9,4,7,7,8,10,2,2,5,7,4,3,6,8,15,4,45,387.6794,3
1,LE,42.6,'gelcoat damage, laminate visible',2,0,4,2,6,6,4,10,10,218,8,8,-2,14,4,10,2,6,4,12,16,2,2,8,10,4,4,6,8,10,2,40,1.9567,0.5
1,LE,44,'erosion class 2-3',1,1,12,2,4,8,18,10,12,162,8,8,-2,14,4,10,2,10,12,12,18,2,2,2,4,4,4,8,10,10,8,30,22.7706,0.5
1,SS,19,'gelcoat damage, laminate visible',2,0,12,2,8,7,4,10,11,83,7,7,41,13,5,8,2,12,12,4,6,3,2,8,10,5,5,8,10,2,26,57,1.5294,0.3
5,'LE,PS,SS',42,'erosion foil damaged',1,1,12,2,7,6,5,10,12,204,7,7,14,12,4,9,3,9,12,12,18,2,2,7,9,6,7,8,10,11,29,28,214.2125,3
2,LE,43,'gelcoat damage, laminate visible, lighting strike',3,1,4,2,6,7,5,10,12,109,8,6,-2,14,5,9,3,5,5,11,16,2,2,7,9,4,4,6,8,15,13,44,15.4323,2
1,LE,35,'Laminate damage',1,0,11,2,8,6,5,10,10,317,8,8,-2,14,4,10,4,8,6,11,16,2,2,5,7,4,4,6,8,19,2,66,9.9589,0.3
5,'LE,PS,SS',40,'Laminate damage',1,1,11,3,5,6,5,10,12,121,7,7,3,12,3,10,3,9,9,12,17,2,2,4,6,5,4,8,10,10,20,36,383.0772,3
5,LE,39,'erosion foil damaged',1,0,6,2,7,7,4,10,11,48,8,8,86,12,1,12,3,6,6,10,7,2,2,4,6,5,4,7,9,8,8,25,16.9789,3
2,LE,40,'gelcoat damage, laminate visible',2,1,12,2,8,4,4,10,8,252,8,8,-2,12,4,10,4,4,4,12,18,4,4,8,10,4,6,8,10,18,42,54,13.7425,0.3
4,LE,35,'gelcoat damage, laminate visible',2,0,12,4,6,7,5,10,11,71,8,8,6,14,4,9,1,12,12,6,8,4,3,7,9,5,5,5,7,2,15,41,4.6598,0.3
4,'LE,PS,SS',39,'erosion foil damaged',1,1,12,7,6,6,6,10,12,205,6,6,1,12,2,10,4,10,12,12,18,2,2,8,10,6,8,8,10,15,30,27,2492.9495,3
1,LE,44,'erosion class 3, protection damage',2,0,10,2,8,8,5,10,12,84,8,7,17,12,6,8,2,6,5,12,16,3,3,3,5,6,6,6,8,17,22,44,28.5279,0.5
5,SS,39,'Dry laminate',1,0,8,3,7,6,4,10,11,90,8,7,5,13,6,8,4,10,12,9,12,4,3,6,8,4,5,6,8,7,22,57,12.8326,2
4,LE,43,'gelcoat damage, laminate visible, protection damage',3,1,12,8,8,6,4,10,12,51,8,8,-2,12,2,10,2,8,12,12,18,2,2,8,10,6,7,8,10,12,31,23,398.1605,2
1,LE,44,'erosion foil damaged',1,1,12,2,8,8,4,10,11,94,8,8,6,14,3,10,4,9,9,12,17,2,2,5,7,5,6,8,10,9,8,31,349.5333,2
1,'LE,PS',37.5,'gelcoat damage, laminate visible',2,1,2,2,8,6,4,10,12,202,8,6,-2,14,4,10,2,6,6,12,18,2,2,4,6,8,8,6,8,14,4,8,9.3329,0.2
3,LE,42.5,'erosion foil damaged',1,1,12,2,8,6,8,11,12,59,8,8,2,14,3,10,2,8,8,12,17,2,2,2,4,7,6,7,9,13,21,33,102.3068,2
1,LE,44,'gelcoat damage, laminate visible',2,1,12,2,2,8,4,10,12,42,6,6,-2,12,8,6,2,6,4,12,18,2,2,8,10,8,10,8,10,20,26,22,53.5912,0.2
2,LE,33.6,'gelcoat damage, laminate visible',2,0,12,2,8,6,4,10,12,218,8,8,-2,14,4,10,4,8,4,12,18,2,2,2,4,6,6,8,10,10,8,48,581.7802,0.2
1,LE,35.1,'gelcoat damage, laminate visible',2,0,2,2,6,6,4,10,12,144,8,6,-2,14,2,10,2,6,2,12,18,2,2,2,4,4,4,8,10,10,0,64,2.0942,0.2
3,LE,42,'erosion class 2-3, protection damage',2,1,12,2,7,8,7,10,12,94,6,7,14,12,4,9,2,9,9,12,17,2,2,5,7,6,7,8,10,8,21,23,594.3594,2
1,LE,42,'erosion foil damaged',1,0,4,2,7,6,4,10,11,107,8,8,-1,14,4,10,3,4,4,10,9,2,2,2,4,6,6,5,7,4,22,35,274.8983,1
5,LE,42,'erosion foil damaged',1,1,5,2,6,8,5,10,9,67,8,8,-1,12,7,6,3,4,4,9,12,2,2,4,6,6,6,7,9,17,21,25,691.8864,2
1,LE,44,'erosion class 2-3',1,1,2,2,4,4,6,10,12,192,6,8,-2,12,4,10,4,4,4,12,14,2,2,6,8,4,4,6,8,16,16,44,17.7652,0.2
5,LE,42.5,'erosion foil damaged',1,1,10,2,8,7,4,10,11,62,7,7,10,12,7,7,3,5,4,11,14,2,2,3,5,7,7,7,9,23,26,26,641.5088,3
1,LE,44,'gelcoat damage, laminate visible',2,1,12,2,3,6,4,10,12,82,7,6,2,13,4,9,2,8,8,12,18,2,2,5,7,4,4,4,6,13,12,33,5.2519,0.2
1,LE,28.5,'erosion foil damaged',1,0,4,2,8,8,2,10,12,147,8,8,1,14,4,10,4,4,4,11,10,2,2,2,4,6,6,8,10,4,15,47,11.2988,1
5,LE,40,'erosion foil damaged',1,1,8,2,7,7,5,10,11,136,8,8,-2,13,5,9,2,4,4,12,18,2,2,5,7,6,6,7,9,19,23,33,678.6605,2
1,LE,44,'erosion class 2-3, protection damage',2,0,4,2,6,4,6,10,12,164,8,8,-2,14,4,10,4,6,4,12,18,2,2,4,6,6,4,8,10,10,14,24,15.5947,0.2
1,LE,33,'gelcoat damage, laminate visible',2,0,10,2,6,7,5,10,11,38,8,8,21,14,9,5,2,10,10,6,5,2,2,1,3,5,5,6,8,8,0,30,1.5186,0.2
1,LE,33,'erosion class 1-2, protection damage',2,1,12,2,7,6,8,10,12,20,6,7,6,12,3,9,3,12,12,4,6,3,3,4,6,4,4,5,7,3,13,41,59.5919,0.2
1,LE,39,'erosion foil damaged',1,0,12,2,6,8,4,10,12,49,8,8,18,13,3,9,4,11,12,11,8,2,2,0,2,4,4,4,6,10,0,29,12.2177,1
1,LE,41.5,'erosion foil damaged',1,1,4,2,6,6,4,10,10,162,6,8,-2,12,4,10,2,4,4,12,16,2,2,2,4,6,6,4,6,8,18,18,3.4691,1
1,LE,42,'gelcoat damage, laminate visible, erosion foil damaged',3,0,2,2,6,8,4,10,12,148,8,8,-2,14,2,10,2,8,4,12,18,2,2,2,4,6,6,8,10,10,12,32,22.0212,1
1,LE,42,'erosion foil damaged',1,0,12,2,6,6,4,10,12,66,8,8,-2,14,6,6,2,10,12,12,18,2,2,2,4,6,4,8,10,10,2,24,34.5496,1
1,LE,44,'erosion class 1-2, protection damage',2,0,12,2,4,6,4,10,12,68,8,8,-2,12,4,8,2,10,12,12,16,2,2,2,4,4,4,8,10,2,10,32,6.7559,1
1,LE,33.5,'erosion class 1-2',1,1,12,2,6,7,7,10,12,71,7,7,-2,13,0,11,3,8,9,12,15,2,2,4,6,5,5,7,9,11,9,25,88.6142,0.3
1,LE,40.6,'erosion foil damaged',1,0,4,2,6,8,4,10,10,42,6,8,-2,12,4,10,0,12,12,12,16,2,2,2,4,6,8,8,10,28,0,34,0.8208,1
1,LE,42.1,'erosion foil damaged',1,1,4,2,8,8,4,10,12,82,6,6,-2,12,5,10,4,6,4,12,18,2,2,4,6,4,4,8,10,9,20,54,56.5998,1
1,LE,43.1,'erosion class 2-3, protection damage',2,0,12,2,6,8,8,10,12,94,8,8,-2,14,8,6,2,10,12,12,18,2,2,2,4,6,4,8,10,10,4,30,165.12,1
